node_0 108.18624743736501,460.4192332255152 127.0.0.1 1
node_1 339.5925330148378,359.2974085610726 127.0.0.1 0
node_2 385.0471409088121,443.56730427185033 127.0.0.1 1
node_3 164.27400251009536,73.8367237030734 127.0.0.1 1
node_4 23.211540433698385,122.71457298046356 127.0.0.1 0
node_5 298.8990122923257,264.22449383584257 127.0.0.1 1
node_6 228.86360022535163,168.7191490367692 127.0.0.1 0
node_7 454.31980237899757,399.96134171571515 127.0.0.1 2
node_8 71.21821164779813,247.30527148948514 127.0.0.1 1
node_9 318.1942576520867,248.55573514790166 127.0.0.1 0
node_10 442.9645768711179,20.556813483621344 127.0.0.1 1
node_11 93.3185524860738,268.52212953061525 127.0.0.1 2
node_12 106.58249045760626,311.5708517900476 127.0.0.1 2
node_13 436.524971251614,103.65406646567392 127.0.0.1 0
node_14 71.48136461443885,246.89774294350457 127.0.0.1 0
node_15 461.9632864781428,5.4205148199819835 127.0.0.1 0
node_16 486.245211429736,98.94579160354236 127.0.0.1 0
node_17 495.2899701587099,404.36192206698144 127.0.0.1 0
node_18 332.01578246268923,120.62013429508639 127.0.0.1 0
node_19 115.97542667732036,413.03981490664387 127.0.0.1 2
