node_0 36.389394,1.213964 127.0.0.1 0
node_1 38.810183,1.101287 127.0.0.1 1
node_2 9.806088,0.655001 127.0.0.1 0
node_3 47.532339,0.658939 127.0.0.1 0
node_4 119.041749,0.223378 127.0.0.1 2
node_5 47.007579,0.026924 127.0.0.1 1
node_6 37.999162,0.333152 127.0.0.1 0
node_7 100.692457,1.571756 127.0.0.1 1
node_8 13.708410,0.923629 127.0.0.1 2
node_9 117.220001,0.460298 127.0.0.1 1
node_10 106.251828,1.897374 127.0.0.1 0
node_11 88.411933,1.160597 127.0.0.1 0
node_12 63.192445,1.369574 127.0.0.1 1
node_13 41.208572,0.975644 127.0.0.1 0
node_14 55.124728,0.483698 127.0.0.1 0
