node_0 108.18624743736501,460.4192332255152 127.0.0.1 1
node_1 339.5925330148378,359.2974085610726 127.0.0.1 0
node_2 385.0471409088121,443.56730427185033 127.0.0.1 1
node_3 164.27400251009536,73.8367237030734 127.0.0.1 1
node_4 23.211540433698385,122.71457298046356 127.0.0.1 0
node_5 298.8990122923257,264.22449383584257 127.0.0.1 1
node_6 228.86360022535163,168.7191490367692 127.0.0.1 0
node_7 454.31980237899757,399.96134171571515 127.0.0.1 2
node_8 71.21821164779813,247.30527148948514 127.0.0.1 1
node_9 318.1942576520867,248.55573514790166 127.0.0.1 0
node_10 442.9645768711179,20.556813483621344 127.0.0.1 1
